,Industry,Percentage of establishments ,Standard error of the percentage of establishments ,Number of establishments ,Standard error of the number of establishments ,Percentage of employment In establishments ,Standard error of the percentage of employment In establishments ,Employment in establishments ,Standard error of the employment in establishments 
0,"Total U.S., private sector 10",5.6,0.12,"473,460","9,916",9.74,0.29,"12,295,992","370,376"
1,"Agriculture, Forestry, Fishing and Hunting",11.21,4.19,"11,728","4,382",10.07,3.99,"128,861","51,096"
2,"Mining, Quarrying, and Oil and Gas Extraction",1.07,0.86,327,263,0.7,1.84,"4,729","12,433"
3,Utilities,1.25,1.56,231,286,1.12,1.23,"6,173","6,750"
4,Construction,4.08,0.21,"31,853","1,615",4.82,0.57,"362,130","42,767"
5,Manufacturing,5.41,0.2,"18,605",703,9.23,0.66,"1,186,643","84,539"
6,Wholesale Trade,3.83,0.4,"22,315","2,332",7.9,1.23,"467,740","72,997"
7,Retail Trade,11.28,0.35,"114,707","3,587",16.54,1.16,"2,603,802","182,960"
8,Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),9.04,1.53,"10,179","1,718",13.47,2.21,"475,979","78,126"
9,Scheduled Air Transportation,0.35,1.99,8,48,0.05,3.22,219,"14,818"
10,Truck Transportation,3.58,1,"4,748","1,322",4.99,1.67,"76,639","25,652"
11,Information,1.28,1.23,"2,239","2,140",4.88,2.16,"140,424","62,130"
12,Finance and Insurance,3.69,0.56,"17,788","2,683",4.15,1.14,"251,623","69,278"
13,Real Estate and Rental and Leasing ,2.62,0.55,"10,546","2,202",3.54,1.17,"82,085","27,154"
14,Professional and Technical Services,2.27,0.24,"27,095","2,908",3.96,1.2,"381,121","115,322"
15,Management of Companies and Enterprises,5.95,1.22,"3,981",817,7.48,2.16,"181,358","52,405"
16,Administrative and Waste Services,5.27,0.51,"27,990","2,712",7.44,1.44,"698,274","135,582"
17,Educational Services,2.35,1.25,"2,866","1,532",3.1,1.5,"92,092","44,629"
18,Health Care,9.2,0.31,"64,159","2,165",18.07,0.94,"2,937,458","153,551"
19,Social Assistance,6.86,0.9,"14,539","1,918",13.07,1.27,"442,671","43,022"
20,"Arts, Entertainment, and Recreation",1.95,0.64,"2,881",939,1.55,1.39,"37,839","33,884"
21,Accommodation and Food Services,9.84,0.31,"69,820","2,209",11.06,0.54,"1,569,617","77,149"
22,"Other Services, Except Public Administration",2.52,0.31,"14,857","1,815",3.92,0.83,"168,516","35,520"
